run_id,domain,family,case_id,case_label,operation,mmap_target,host,torchfits_method,torchfits_time_s,torchfits_peak_rss_mb,best_library,best_method,best_time_s,best_peak_rss_mb,lag_ratio,pct_behind,significance,n_points,perceived_impact
exhaustive_cpu_20260719_083800,fits,smart,compressed_hcompress_1::read_full,compressed_hcompress_1 [read_full],read_full,on,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits,0.04552449844777584,289.3125,fitsio,fitsio_torch,0.04432331118732691,289.3125,1.0271005759333338,2.7100575933333815,noise,,visible
exhaustive_cpu_20260719_083800,fits,smart,compressed_hcompress_1::read_full,compressed_hcompress_1 [read_full],read_full,off,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits,0.0454758582636714,290.625,fitsio,fitsio_torch,0.04432131536304951,290.625,1.0260493825863397,2.604938258633971,noise,,visible
exhaustive_cpu_20260719_083800,fits,specialized,large_int32_2d::header_read,large_int32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.192907363176346e-05,277.43359375,fitsio,fitsio,2.7649104595184326e-05,277.43359375,1.516471301535974,51.64713015359741,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,tiny_float64_1d::header_read,tiny_float64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.94769012928009e-05,277.43359375,fitsio,fitsio,2.607889473438263e-05,277.43359375,1.513749017927291,51.3749017927291,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,small_int64_1d::header_read,small_int64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.025362432003021e-05,277.43359375,fitsio,fitsio,2.7008354663848877e-05,277.43359375,1.4904137931034482,49.04137931034482,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,medium_int32_3d::header_read,medium_int32_3d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.340987652540207e-05,277.43359375,fitsio,fitsio,2.9139220714569092e-05,277.43359375,1.4897404755816928,48.974047558169275,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,tiny_int16_1d::header_read,tiny_int16_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.7352554500103e-05,277.43359375,fitsio,fitsio,2.5087036192417145e-05,277.43359375,1.4889185878160152,48.89185878160151,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,medium_int32_2d::header_read,medium_int32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.0451064705848694e-05,277.43359375,fitsio,fitsio,2.7363188564777374e-05,277.43359375,1.478302304210204,47.83023042102039,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,small_int64_2d::header_read,small_int64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.0578655898571014e-05,277.43359375,fitsio,fitsio,2.7516856789588928e-05,277.43359375,1.4746835443037976,47.468354430379755,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,medium_int32_1d::header_read,medium_int32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.748107701539993e-05,277.43359375,fitsio,fitsio,2.5480054318904877e-05,277.43359375,1.4709967469571257,47.099674695712565,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,small_float32_1d::header_read,small_float32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.688782453536987e-05,277.43359375,fitsio,fitsio,2.5134533643722534e-05,277.43359375,1.4676152364013635,46.761523640136346,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,medium_int16_1d::header_read,medium_int16_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.788527101278305e-05,277.43359375,fitsio,fitsio,2.616923302412033e-05,277.43359375,1.4477027652229617,44.77027652229617,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,large_int64_1d::header_read,large_int64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,3.742985427379608e-05,277.43359375,fitsio,fitsio,2.588517963886261e-05,277.43359375,1.4459955386054544,44.59955386054544,noise,,negligible
exhaustive_cpu_20260719_083800,fits,specialized,large_float64_1d::header_read,large_float64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cpu-20260719-083800,torchfits_specialized,4.16245311498642e-05,277.43359375,fitsio,fitsio,2.8789974749088287e-05,277.43359375,1.44579950182771,44.579950182771015,noise,,negligible
