run_id,domain,suite,case_id,case_label,operation,family,library,method,mode,status,skip_reason,comparable,mmap_target,host,time_s,peak_rss_mb,peak_cuda_alloc_mb,throughput,unit,size_mb,n_points,metadata,best_in_family,rank_in_family,lag_ratio,pct_behind
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu1::megacam_cutouts,1722795p.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,baseline,torchfits,torchfits_naive,baseline,OK,,False,n/a,NRC-054711,0.1318288749898784,274.4375,,75.85591548716307,MB/s,10.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,,,
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu1::megacam_cutouts,1722795p.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,specialized,torchfits,torchfits_cached,specialized,OK,,True,n/a,NRC-054711,0.1192089170217514,274.765625,,83.8863421448192,MB/s,10.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu1::megacam_cutouts,1722795p.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,specialized,fitsio,fitsio_cached,specialized,OK,,True,n/a,NRC-054711,0.13978475000476465,274.765625,,71.53856196515818,MB/s,10.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,2,1.1726031365527705,17.26031365527705
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu1::megacam_cutouts,1722795p.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,materialize,torchfits,torchfits_materialize,materialize,OK,,True,n/a,NRC-054711,0.05958562498562969,274.765625,,167.8257130375272,MB/s,10.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu2::megacam_cutouts,1722795p.fits.fz ext 2 [40 cutouts; rice],megacam_repeated_cutouts,baseline,torchfits,torchfits_naive,baseline,OK,,False,n/a,NRC-054711,0.13536520799971186,286.875,,73.87422623412425,MB/s,10.0,40,"{""hdu"": 2, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,,,
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu2::megacam_cutouts,1722795p.fits.fz ext 2 [40 cutouts; rice],megacam_repeated_cutouts,specialized,torchfits,torchfits_cached,specialized,OK,,True,n/a,NRC-054711,0.11974333398393355,286.875,,83.51195567464107,MB/s,10.0,40,"{""hdu"": 2, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu2::megacam_cutouts,1722795p.fits.fz ext 2 [40 cutouts; rice],megacam_repeated_cutouts,specialized,fitsio,fitsio_cached,specialized,OK,,True,n/a,NRC-054711,0.13468916699639522,286.875,,74.24502076152596,MB/s,10.0,40,"{""hdu"": 2, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,2,1.1248155744057287,12.481557440572866
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu2::megacam_cutouts,1722795p.fits.fz ext 2 [40 cutouts; rice],megacam_repeated_cutouts,materialize,torchfits,torchfits_materialize,materialize,OK,,True,n/a,NRC-054711,0.0601995830074884,286.875,,166.11410744748966,MB/s,10.0,40,"{""hdu"": 2, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu3::megacam_cutouts,1722795p.fits.fz ext 3 [40 cutouts; rice],megacam_repeated_cutouts,baseline,torchfits,torchfits_naive,baseline,OK,,False,n/a,NRC-054711,0.14247166700079106,287.15625,,70.18939421790071,MB/s,10.0,40,"{""hdu"": 3, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,,,
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu3::megacam_cutouts,1722795p.fits.fz ext 3 [40 cutouts; rice],megacam_repeated_cutouts,specialized,torchfits,torchfits_cached,specialized,OK,,True,n/a,NRC-054711,0.12322441700962372,287.15625,,81.15274750473365,MB/s,10.0,40,"{""hdu"": 3, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu3::megacam_cutouts,1722795p.fits.fz ext 3 [40 cutouts; rice],megacam_repeated_cutouts,specialized,fitsio,fitsio_cached,specialized,OK,,True,n/a,NRC-054711,0.1318729170016013,287.15625,,75.83058164913855,MB/s,10.0,40,"{""hdu"": 3, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,2,1.0701849536143648,7.018495361436483
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu3::megacam_cutouts,1722795p.fits.fz ext 3 [40 cutouts; rice],megacam_repeated_cutouts,materialize,torchfits,torchfits_materialize,materialize,OK,,True,n/a,NRC-054711,0.060308582993457094,287.15625,,165.81387762144743,MB/s,10.0,40,"{""hdu"": 3, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu4::megacam_cutouts,1722795p.fits.fz ext 4 [40 cutouts; rice],megacam_repeated_cutouts,baseline,torchfits,torchfits_naive,baseline,OK,,False,n/a,NRC-054711,0.14828437499818392,289.421875,,67.43798866281409,MB/s,10.0,40,"{""hdu"": 4, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,,,
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu4::megacam_cutouts,1722795p.fits.fz ext 4 [40 cutouts; rice],megacam_repeated_cutouts,specialized,torchfits,torchfits_cached,specialized,OK,,True,n/a,NRC-054711,0.12080870801582932,289.421875,,82.77548998115036,MB/s,10.0,40,"{""hdu"": 4, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu4::megacam_cutouts,1722795p.fits.fz ext 4 [40 cutouts; rice],megacam_repeated_cutouts,specialized,fitsio,fitsio_cached,specialized,OK,,True,n/a,NRC-054711,0.13546391698764637,289.65625,,73.82039603145353,MB/s,10.0,40,"{""hdu"": 4, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",False,2,1.1213092103418307,12.130921034183073
20260719_000538,fits,megacam_cutouts,1722795p.fits::hdu4::megacam_cutouts,1722795p.fits.fz ext 4 [40 cutouts; rice],megacam_repeated_cutouts,materialize,torchfits,torchfits_materialize,materialize,OK,,True,n/a,NRC-054711,0.060428041993873194,289.6875,,165.4860834480439,MB/s,10.0,40,"{""hdu"": 4, ""cutouts"": 40, ""source"": ""1722795p.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 10.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,2366188o.fits::hdu1::megacam_cutouts,2366188o.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,baseline,torchfits,torchfits_naive,baseline,OK,,False,n/a,NRC-054711,0.12445274999481626,290.265625,,40.17589004829754,MB/s,5.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""2366188o.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 5.0}",False,,,
20260719_000538,fits,megacam_cutouts,2366188o.fits::hdu1::megacam_cutouts,2366188o.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,specialized,torchfits,torchfits_cached,specialized,OK,,True,n/a,NRC-054711,0.11979708398575895,290.265625,,41.737242958220776,MB/s,5.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""2366188o.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 5.0}",True,1,1.0,0.0
20260719_000538,fits,megacam_cutouts,2366188o.fits::hdu1::megacam_cutouts,2366188o.fits.fz ext 1 [40 cutouts; rice],megacam_repeated_cutouts,specialized,fitsio,fitsio_cached,specialized,OK,,True,n/a,NRC-054711,0.12685262502054684,290.265625,,39.41581815268017,MB/s,5.0,40,"{""hdu"": 1, ""cutouts"": 40, ""source"": ""2366188o.fits.fz"", ""znaxis"": true, ""naxis1"": 2112, ""naxis2"": 4644, ""payload_mb"": 5.0}",False,2,1.0588957660741278,5.889576607412783
