run_id,domain,family,case_id,case_label,operation,mmap_target,host,torchfits_method,torchfits_time_s,torchfits_peak_rss_mb,best_library,best_method,best_time_s,best_peak_rss_mb,lag_ratio,pct_behind,significance,n_points,perceived_impact
exhaustive_cuda_20260719_083810,fits,specialized,small_float64_1d::header_read,small_float64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.35199248790741e-05,779.7578125,fitsio,fitsio,4.214700311422348e-05,779.7578125,1.5071041873826097,50.71041873826096,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,tiny_int64_2d::header_read,tiny_int64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.301701068878174e-05,779.7578125,fitsio,fitsio,4.196353256702423e-05,779.7578125,1.5017089085179103,50.17089085179103,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,small_int32_2d::header_read,small_int32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.723776459693909e-05,779.7578125,fitsio,fitsio,4.496052861213684e-05,779.7578125,1.4954842986162897,49.548429861628975,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,timeseries_frame_003::header_read,timeseries_frame_003 [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.475578993558884e-05,779.7578125,fitsio,fitsio,4.3546780943870544e-05,779.7578125,1.4870396509688182,48.70396509688182,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_float32_2d::header_read,medium_float32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,8.355826139450073e-05,779.7578125,fitsio,fitsio,5.631614476442337e-05,779.7578125,1.48373546776034,48.373546776034004,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_int32_3d::header_read,medium_int32_3d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.526242941617966e-05,779.7578125,fitsio,fitsio,4.414096474647522e-05,779.7578125,1.4785002953835766,47.85002953835766,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_float64_2d::header_read,large_float64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.556697189807892e-05,779.7578125,fitsio,fitsio,4.453863948583603e-05,779.7578125,1.472136837923175,47.2136837923175,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,tiny_int32_1d::header_read,tiny_int32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.0395337641239166e-05,779.7578125,fitsio,fitsio,4.106201231479645e-05,779.7578125,1.4708323882966658,47.083238829666584,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_int64_2d::header_read,large_int64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.564054638147354e-05,779.7578125,fitsio,fitsio,4.4712796807289124e-05,779.7578125,1.4680483232659862,46.80483232659862,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_int64_1d::header_read,large_int64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.388500332832336e-05,779.7578125,fitsio,fitsio,4.3594278395175934e-05,779.7578125,1.4654446794419878,46.54446794419877,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_int16_1d::header_read,large_int16_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.269849836826324e-05,779.7578125,fitsio,fitsio,4.290882498025894e-05,779.7578125,1.461202873700432,46.12028737004319,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,small_int64_2d::header_read,small_int64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.442051380872726e-05,779.7578125,fitsio,fitsio,4.452373832464218e-05,779.7578125,1.4468801639927207,44.688016399272065,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,timeseries_frame_000::header_read,timeseries_frame_000 [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.501283496618271e-05,779.7578125,fitsio,fitsio,4.52650710940361e-05,779.7578125,1.436269366088513,43.62693660885131,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_int16_2d::header_read,large_int16_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.752461194992065e-05,779.7578125,fitsio,fitsio,4.716496914625168e-05,779.7578125,1.4316687400035544,43.166874000355435,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_int32_1d::header_read,large_int32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.168894469738007e-05,779.7578125,fitsio,fitsio,4.322826862335205e-05,779.7578125,1.4270510168907273,42.705101689072734,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_int32_2d::header_read,medium_int32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.817653775215149e-05,779.7578125,fitsio,fitsio,4.7929584980010986e-05,779.7578125,1.4224312140525417,42.24312140525417,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_float32_1d::header_read,large_float32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.251316517591476e-05,779.7578125,fitsio,fitsio,4.3997541069984436e-05,779.7578125,1.4208331569366242,42.08331569366241,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_int64_3d::header_read,medium_int64_3d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,7.045082747936249e-05,779.7578125,fitsio,fitsio,5.006510764360428e-05,779.7578125,1.4071841806648437,40.718418066484375,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_float64_1d::header_read,large_float64_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.275251507759094e-05,779.7578125,fitsio,fitsio,4.4675543904304504e-05,779.7578125,1.4046278924327704,40.462789243277044,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_int32_1d::header_read,medium_int32_1d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.458908319473267e-05,779.7578125,fitsio,fitsio,4.608370363712311e-05,779.7578125,1.401560163291702,40.15601632917021,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_int16_3d::header_read,medium_int16_3d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.86468556523323e-05,779.7578125,fitsio,fitsio,4.9054622650146484e-05,779.7578125,1.3993962636695019,39.939626366950186,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_float32_2d::header_read,large_float32_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.796233355998993e-05,779.7578125,fitsio,fitsio,4.861317574977875e-05,779.7578125,1.398022912755278,39.80229127552779,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,medium_float64_2d::header_read,medium_float64_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,7.899198681116104e-05,779.7578125,fitsio,fitsio,5.6968070566654205e-05,779.7578125,1.3866010560905033,38.66010560905033,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,tiny_int16_3d::header_read,tiny_int16_3d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.376206874847412e-05,779.7578125,fitsio,fitsio,4.606880247592926e-05,779.7578125,1.3840617798083532,38.406177980835324,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,large_uint16_2d::header_read,large_uint16_2d [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,9.443145245313644e-05,779.7578125,fitsio,fitsio,6.866268813610077e-05,779.7578125,1.3752950112579008,37.52950112579008,noise,,negligible
exhaustive_cuda_20260719_083810,fits,specialized,timeseries_frame_004::header_read,timeseries_frame_004 [header_read],header_read,n/a,torchfits-gpu-exhaustive-cuda-20260719-083810,torchfits_specialized,6.488896906375885e-05,779.7578125,fitsio,fitsio,4.727020859718323e-05,779.7578125,1.372724406966664,37.2724406966664,noise,,negligible
