run_id,domain,suite,case_id,case_label,operation,family,library,method,mode,status,skip_reason,comparable,mmap_target,host,time_s,peak_rss_mb,peak_cuda_alloc_mb,throughput,unit,size_mb,n_points,metadata,best_in_family,rank_in_family,lag_ratio,pct_behind
ml_20260719_070024,ml,ml_loader,ml_uncompressed,uncompressed fits,dataloader_throughput,smart,torchfits,torchfits,smart,OK,,True,n/a,NRC-054711,,,,1390761465.2061343,pixels/s,800.2166748046875,50,"{""device"": ""cpu"", ""compressed"": true, ""shape"": [2048, 2048], ""n_files"": 50}",,,,
ml_20260719_070024,ml,ml_loader,ml_uncompressed,uncompressed fits,dataloader_throughput,smart,fitsio,fitsio + numpy,smart,OK,,True,n/a,NRC-054711,,,,1484808470.1660333,pixels/s,800.2166748046875,50,"{""device"": ""cpu"", ""compressed"": true, ""shape"": [2048, 2048], ""n_files"": 50}",,,,
ml_20260719_070024,ml,ml_loader,ml_compressed_rice,compressed fits (rice),dataloader_throughput,smart,torchfits,torchfits (comp),smart,OK,,True,n/a,NRC-054711,,,,406784746.76035094,pixels/s,124.1455078125,50,"{""device"": ""cpu"", ""compressed"": true, ""shape"": [2048, 2048], ""n_files"": 50}",,,,
ml_20260719_070024,ml,ml_loader,ml_compressed_rice,compressed fits (rice),dataloader_throughput,smart,fitsio,fitsio (comp),smart,OK,,True,n/a,NRC-054711,,,,406679282.1060626,pixels/s,124.1455078125,50,"{""device"": ""cpu"", ""compressed"": true, ""shape"": [2048, 2048], ""n_files"": 50}",,,,
